70; 1.15411
31; 0.179208
76; 1.30398
44; 0.420632
10; 0.01509
94; 2.07745
97; 2.29712
34; 0.221284
75; 1.31264
57; 0.948842
53; 0.855394
47; 0.521496
30; 0.165121
72; 1.13674
14; 0.029865
77; 1.33048
29; 0.150494
36; 0.25793
77; 1.35063
31; 0.188839
86; 1.74564
8; 0.010151
35; 0.24678
56; 0.674622
66; 1.14872
39; 0.297545
52; 0.583997
66; 1.01402
68; 1.04009
35; 0.238862
99; 2.38644
80; 1.54202
70; 1.26939
53; 0.620106
83; 1.56692
10; 0.014175
61; 0.836832
18; 0.053216
43; 0.367625
26; 0.124487
67; 1.02107
53; 0.618727
19; 0.062302
10; 0.01465
3; 0.0016
39; 0.299949
100; 2.43381
39; 0.302328
23; 0.092624
52; 0.742103
39; 0.344871
67; 0.999148
49; 0.514122
38; 0.293211
76; 1.42708
77; 1.54497
84; 1.60355
12; 0.020614
87; 1.79856
43; 0.380107
17; 0.047437
41; 0.334743
96; 2.85314
94; 2.06526
67; 1.0103
48; 0.474302
4; 0.002876
20; 0.068713
15; 0.035021
76; 1.3031
88; 1.96829
38; 0.330512
75; 1.51443
76; 2.06138
52; 0.890186
19; 0.099437
83; 2.51143
45; 0.445253
75; 1.33925
53; 0.626429
10; 0.01681
83; 1.59093
80; 1.65596
65; 1.21673
70; 1.53191
85; 1.69018
39; 0.310378
34; 0.229868
52; 0.621202
25; 0.110516
67; 1.00638
46; 0.44733
38; 0.358819
63; 0.962485
29; 0.155219
61; 0.797874
10; 0.016245
70; 1.09798
64; 0.951175
8; 0.010847
